trial,score,PID_KP,PID_KI,PID_KD,PID_INTEGRAL_LIMIT,YAW_DEADBAND_DEG,MAX_ROTATE_SPEED,MIN_COMMAND_SPEED,COLOR_KP_X,COLOR_KD_X,COLOR_KP_Y,COLOR_KD_Y,COLOR_DEAD_ZONE,COLOR_CENTER_EXIT_ZONE,COLOR_INPUT_FILTER_ALPHA,COLOR_COMMAND_FILTER_ALPHA,COLOR_MAX_TRACKING_SPEED,COLOR_COMMAND_RAMP_STEP,MIN_TRANSLATE_SPEED,DRIVE_MAX_DUTY,DRIVE_TRANSLATE_BIAS_DUTY,usable_samples,mean_abs_yaw_error,rms_color_error,rotate_std,vx_std,vy_std,settled,settle_time_s,steady_mean_abs_yaw_error,steady_rms_color_error,steady_rotate_std,steady_vx_std,steady_vy_std,locked_ratio,center_ratio,failure_reason
baseline,76.7198261666714,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.033,0.25,0.033,0.25,3.0,5.0,0.25,0.4,5.5,1.1,2.0,7100.0,5200.0,22.0,0.3285,11.66826628748859,10.414944761263273,0.10723255334024163,0.5693405281225024,1.0,5.8235574000009365,0.21972,3.6878177823395593,0.0,0.0,0.0,0.7727272727272727,0.7272727272727273,
ai_round1_1,56.56345310434981,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.033,0.25,0.033,0.25,3.0,5.0,0.25,0.4,7.0,1.5,2.0,7500.0,5500.0,21.0,0.29430555555555554,4.355664596451922,18.74763779526622,0.4198483826324605,0.07161806293649327,1.0,4.011787199999162,0.1769,1.9920780934106135,0.0,0.0,0.0,0.8095238095238095,0.47619047619047616,
ai_round1_2,1000000.0,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.039,0.3,0.039,0.3,3.0,5.0,0.25,0.4,5.5,1.1,2.0,7100.0,5200.0,0.0,,,,,,,,,,,,,,,COLOR_COMMAND_RAMP_STEP 执行失败，回包：'ERR unknown COLOR_COMMA<AIPID_BEGIN>AIPID|COLOR_COMMAND_RAMP_STEP'
ai_round1_3,5500000000028.675,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.039,0.3,0.039,0.3,3.0,5.0,0.25,0.4,7.0,1.5,2.0,7100.0,5200.0,23.0,0.44583636363636364,20851441405677.867,23.211039678328937,0.07470613658261407,0.8916652340017581,1.0,2.6109555999992153,0.3430625,24999999999964.5,0.0,0.0,0.0,0.8260869565217391,0.782608695652174,
ai_round2_1,1000000.0,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,6.0,1.1,2.0,7300.0,5300.0,0.0,,,,,,,,,,,,,,,AI_STOP 回包 ERR unsupported，可能是无线串口丢字导致命令不完整，本轮跳过。
ai_round2_2,1000000.0,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.036,0.25,0.036,0.25,4.0,5.0,0.25,0.4,5.5,1.1,2.0,7100.0,5200.0,0.0,,,,,,,,,,,,,,,AI_PERTURB 执行失败，回包：'ERR AI_PERTURB_VALUE'
ai_round2_3,1000000.0,0.15,0.07,0.01,60.0,0.6,60.0,46.0,0.033,0.25,0.033,0.25,3.0,5.0,0.25,0.4,6.0,1.1,2.0,7200.0,5300.0,0.0,,,,,,,,,,,,,,,COLOR_KP_Y 执行失败，回包：'ERR invalid COLOR_KP_Y'
ai_round3_1,1000000.0,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.033,0.25,0.033,0.25,3.0,5.0,0.25,0.4,6.0,1.3,2.0,7300.0,5300.0,0.0,,,,,,,,,,,,,,,AI_PERTURB 执行失败，回包：'ERR AI_PERTURB_VALUE'
ai_round3_2,1000000.0,0.15,0.07,0.01,60.0,0.5,64.0,50.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,5.5,1.1,2.0,7100.0,5200.0,0.0,,,,,,,,,,,,,,,COLOR_COMMAND_RAMP_STEP 执行失败，回包：''
ai_round3_3,1000000.0,0.15,0.07,0.01,60.0,0.6,60.0,46.0,0.033,0.25,0.033,0.25,3.0,5.0,0.25,0.4,5.8,1.2,2.0,7200.0,5200.0,0.0,,,,,,,,,,,,,,,COLOR_COMMAND_RAMP_STEP 执行失败，回包：'ERR unknown COLOR_COMMA<AIPID_BEGIN>AIPID|COLOR_COMMAND_RAMP_STEP'
