trial,score,PID_KP,PID_KI,PID_KD,PID_INTEGRAL_LIMIT,YAW_DEADBAND_DEG,MAX_ROTATE_SPEED,MIN_COMMAND_SPEED,COLOR_KP_X,COLOR_KD_X,COLOR_KP_Y,COLOR_KD_Y,COLOR_DEAD_ZONE,COLOR_CENTER_EXIT_ZONE,COLOR_INPUT_FILTER_ALPHA,COLOR_COMMAND_FILTER_ALPHA,COLOR_MAX_TRACKING_SPEED,COLOR_COMMAND_RAMP_STEP,MIN_TRANSLATE_SPEED,DRIVE_MAX_DUTY,DRIVE_TRANSLATE_BIAS_DUTY,usable_samples,mean_abs_yaw_error,rms_color_error,rotate_std,vx_std,vy_std,settled,settle_time_s,steady_mean_abs_yaw_error,steady_rms_color_error,steady_rotate_std,steady_vx_std,steady_vy_std,locked_ratio,center_ratio,failure_reason
baseline,192.97872394016719,0.18,0.07,0.2,60.0,0.5,79.0,46.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,8.5,1.5,4.0,8100.0,5200.0,27.0,4.73795,22.207366108607555,40.532396567039605,2.4380774496757245,2.475084092287724,0.0,8.525389600000016,4.73795,22.207366108607555,40.532396567039605,2.4380774496757245,2.475084092287724,0.8518518518518519,0.07407407407407407,
ai_round1_1,1000000.0,0.18,0.07,0.2,60.0,0.6,73.0,42.0,0.027,0.3,0.027,0.3,5.0,7.0,0.21,0.35,7.0,1.1,2.0,7700.0,4900.0,0.0,,,,,,,,,,,,,,,AI_PERTURB 执行失败，回包：'ERR AI_PERTURB_VALUE'
ai_round1_2,188.90183512964714,0.1,0.07,0.25,52.0,0.6,73.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.0,1.1,2.0,7700.0,4900.0,29.0,4.695227272727273,18.121982791119052,34.2724621917495,1.1981817413196827,1.3678555072723388,0.0,8.61367859999982,4.695227272727273,18.121982791119052,34.2724621917495,1.1981817413196827,1.3678555072723388,0.7931034482758621,0.034482758620689655,
ai_round1_3,230.0803518775078,0.18,0.07,0.2,60.0,0.5,79.0,46.0,0.027,0.3,0.027,0.3,5.0,7.0,0.21,0.35,7.0,1.1,2.0,8100.0,5200.0,28.0,32.620948,4.313240988700839,14.227560205030063,0.0,0.0,0.0,8.453152800000316,32.620948,4.313240988700839,14.227560205030063,0.0,0.0,0.7857142857142857,0.6785714285714286,
ai_round2_1,1000000.0,0.14,0.07,0.25,52.0,0.7,73.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,8.0,1.3,2.0,7700.0,4900.0,0.0,,,,,,,,,,,,,,,DRIVE_TRANSLATE_BIAS_DUTY 执行失败，回包：'ERR invalid DRIVE_TRANSLATE_BIAS_DU'
ai_round2_2,1000000.0,0.1,0.07,0.3,44.0,0.7,67.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.29,0.45,7.5,1.1,2.0,7500.0,4600.0,0.0,,,,,,,,,,,,,,,COLOR_COMMAND_FILTER_ALPHA 执行失败，回包：'ERR invalid COLOR_COMMAND_FILTER_ALPHA'
ai_round2_3,236.56467692777548,0.12,0.07,0.25,52.0,0.6,73.0,42.0,0.039,0.3,0.039,0.3,4.0,6.0,0.25,0.4,7.5,1.3,2.0,7700.0,4900.0,27.0,18.672925,50.09347658059938,39.90277017691694,0.821337409718787,0.18103355834082763,0.0,8.509356699999989,18.672925,50.09347658059938,39.90277017691694,0.821337409718787,0.18103355834082763,0.7777777777777778,0.0,
ai_round3_1,155493139.2201341,0.12,0.07,0.25,52.0,0.6,73.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.3,2.0,7900.0,5000.0,29.0,4.405029166666666,706786152.2004735,37.15046373875777,1.0951651115777576,1.486081374409699,0.0,8.626945499999783,4.405029166666666,706786152.2004735,37.15046373875777,1.0951651115777576,1.486081374409699,0.7931034482758621,0.06896551724137931,
ai_round3_2,199.2297986485018,0.1,0.07,0.25,52.0,0.7,73.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7900.0,5000.0,28.0,7.557345833333333,25.66803981319259,37.23642061756424,1.0604303772705992,1.5109082955126627,0.0,8.447911899999417,7.557345833333333,25.66803981319259,37.23642061756424,1.0604303772705992,1.5109082955126627,0.8214285714285714,0.0,
ai_round3_3,158.33192234472523,0.12,0.07,0.3,52.0,0.6,67.0,42.0,0.033,0.25,0.033,0.25,4.0,6.0,0.25,0.4,7.5,1.1,2.0,7700.0,4900.0,27.0,7.322158333333333,0.9058547851793243,10.999438818457406,0.0,0.0,0.0,8.42632250000006,7.322158333333333,0.9058547851793243,10.999438818457406,0.0,0.0,0.8518518518518519,0.8148148148148148,
